Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 07/07/2023
TIME       : 10:10:26
FILENAME   : C:\Users\nicol\Documents\GitHub\POC_samples\CSV\P4-C_230707101026_P3947.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-P3947  216.
  Instrument number       =          UTC-6     
                          =0
  Location                =P4-C
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-P3947  216.
  Instrument number       =          UTC-6     
  Location                =P4-C
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:12 29/07/21
  End date / time         =00:30:23 06/05/22
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2021/07/29 12:00:00,762.600,14.447
2021/07/29 12:15:00,762.250,14.820
2021/07/29 12:30:00,762.775,15.217
2021/07/29 12:45:00,762.600,15.557
2021/07/29 13:00:00,762.775,15.850
2021/07/29 13:15:00,762.425,16.097
2021/07/29 13:30:00,762.425,16.257
2021/07/29 13:45:00,762.425,16.410
2021/07/29 14:00:00,762.250,16.543
2021/07/29 14:15:00,762.250,16.623
2021/07/29 14:30:00,762.250,16.673
2021/07/29 14:45:00,761.900,16.570
2021/07/29 15:00:00,761.900,16.283
2021/07/29 15:15:00,761.725,16.063
2021/07/29 15:30:00,761.900,15.863
2021/07/29 15:45:00,761.725,15.550
2021/07/29 16:00:00,761.550,15.363
2021/07/29 16:15:00,761.550,15.183
2021/07/29 16:30:00,761.433,14.993
2021/07/29 16:45:00,761.258,14.707
2021/07/29 17:00:00,761.375,14.447
2021/07/29 17:15:00,761.258,14.153
2021/07/29 17:30:00,760.908,13.887
2021/07/29 17:45:00,761.083,13.633
2021/07/29 18:00:00,760.908,13.367
2021/07/29 18:15:00,761.083,13.083
2021/07/29 18:30:00,760.908,12.863
2021/07/29 18:45:00,761.083,12.690
2021/07/29 19:00:00,760.733,12.457
2021/07/29 19:15:00,761.083,12.197
2021/07/29 19:30:00,761.375,11.963
2021/07/29 19:45:00,761.550,11.770
2021/07/29 20:00:00,761.900,11.580
2021/07/29 20:15:00,761.900,11.420
2021/07/29 20:30:00,761.900,11.267
